bancarizado,codigodepartamentoatencion,codigomunicipioatencion,discapacidad,estadobeneficiario,etnia,fechainscripcionbeneficiario,genero,nivelescolaridad,nombredepartamentoatencion,nombremunicipioatencion,pais,tipoasignacionbeneficio,tipobeneficio,tipodocumento,tipopoblacion,rangobeneficioconsolidadoasignado,rangoultimobeneficioasignado,fechaultimobeneficioasignado,rangoedad,titular,cantidaddebeneficiarios
ND,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,3
SI,15,15572,NO,ACTIVO,ROM O GITANO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-03-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,7
NO,15,15572,SI,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,SISBEN,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,18-29,SI,1
SI,15,15572,NO,NO ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,UNIDOS,1.500.001 - 3.000.000,0 - 1.300.000,2015-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2016-06-01,Hombre,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ND,2015-06-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-10-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
,15,15572,ND,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2014-01-01,>65,SI,1
NO,15,15572,NO,ACTIVO,ND,2013-07-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2014-03-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,>65,SI,1
NO,15,15572,SI,ACTIVO,ND,2012-12-01,Hombre,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
